,fname,lname,tags,associations,subplots
253,Jonathan,Safron,{'class': 'g-list-item Trump Stolenemails MuellerInterest Congress'},Campaign,Stolen emails
254,Anatoli,Samochornov,{'class': 'g-list-item Trump Russiacontacts Manafortindictment MuellerInterest Congress'},Campaign,"Russia contacts, Manafort indictment"
255,Sarah Huckabee,Sanders,{'class': 'g-list-item Trump Flynnplea Comeyfiring'},Administration,"Flynn plea, Comey firing"
256,Felix,Sater,{'class': 'g-list-item Trump Russiacontacts MuellerInterest Congress'},"Trump Org, Campaign",Russia contacts
257,Anthony,Scaramucci,{'class': 'g-list-item Trump Russiacontacts Congress'},"Trump Campaign, Transition, Administration",Russia contacts
258,Dan,Scavino,{'class': 'g-list-item Trump Stolenemails Fakenews Comeyfiring Congress'},"Campaign, Transition, Administration ","Stolen emails, Fake news, Comey firing"
259,Keith,Schiller,{'class': 'g-list-item Trump Comeyfiring Congress'},"Campaign, Transition, Administration ",Comey firing
260,Joseph,Schmitz,{'class': 'g-list-item Trump Russiacontacts MuellerInterest Congress'},Campaign,Russia contacts
261,Howard,Schweitzer,{'class': 'g-list-item Other TheSteeledossier Congress'},Attorney,The Steele dossier
262,Stuart,Sears,{'class': 'g-list-item Trump Comeyfiring'},Attorney,Comey firing
263,Igor,Sechin,{'class': 'g-list-item ForeignNational Russiacontacts TheSteeledossier Congress'},"Russian, Campaign","Russia contacts, The Steele dossier"
264,Jay,Sekulow,{'class': 'g-list-item Trump Comeyfiring Flynnplea Manafortindictment Stolenemails Russiacontacts'},Attorney,"Comey firing, Flynn plea, Manafort indictment, Stolen emails, Russia contacts"
265,Jeff,Sessions,{'class': 'g-list-item Trump Flynnplea Russiacontacts Comeyfiring Congress'},"Campaign, Transition, Administration ","Flynn plea, Russia contacts, Comey firing"
266,Dimitri,Simes,{'class': 'g-list-item ForeignNational Russiacontacts Congress'},Russian,Russia contacts
267,Glenn,Simpson,{'class': 'g-list-item Other TheSteeledossier Russiacontacts MuellerInterest Congress'},Fusion GPS,"The Steele dossier, Russia contacts"
268,Brian,Smith,{'class': 'g-list-item Trump Flynnplea Russiacontacts Fakenews Stolenemails'},Attorney,"Flynn plea, Russia contacts, Fake news, Stolen emails"
269,Grant,Smith,{'class': 'g-list-item Trump Stolenemails Fakenews Russiacontacts'},Attorney,"Stolen emails, Fake news, Russia contacts"
270,Peter ,Smith,{'class': 'g-list-item Trump Stolenemails Flynnplea Russiacontacts MuellerInterest Congress'},Campaign,"Stolen emails, Flynn plea, Russia contacts"
271,Oleg,Solodukhin,{'class': 'g-list-item ForeignNational TheSteeledossier Russiacontacts Manafortindictment Congress'},Russian,"The Steele dossier, Russia contacts, Manafort indictment"
272,,Sphere Consulting employee,{'class': 'g-list-item Trump Flynnplea MuellerInterest'},Campaign,Flynn plea
273,Sean,Spicer,{'class': 'g-list-item Trump Flynnplea Comeyfiring MuellerInterest Congress'},"Transition, Administration","Flynn plea, Comey firing"
274,Robert,Stanley,{'class': 'g-list-item Trump Fakenews Stolenemails Russiacontacts'},Attorney,"Fake news, Stolen emails, Russia contacts"
275,Christopher,Steele,{'class': 'g-list-item ForeignNational TheSteeledossier Russiacontacts Manafortindictment MuellerInterest Congress'},Russian,"The Steele dossier, Russia contacts, Manafort indictment"
276,Jill,Stein,{'class': 'g-list-item Other Flynnplea Russiacontacts Congress'},Campaign,"Flynn plea, Russia contacts"
277,Roger,Stone,{'class': 'g-list-item Trump Stolenemails Fakenews Russiacontacts MuellerInterest Congress'},Campaign,"Stolen emails, Fake news, Russia contacts"
278,Peter,Strzok,{'class': 'g-list-item Mueller Russiacontacts Congress'},FBI,Russia contacts
279,Joshua,Stueve,{'class': 'g-list-item Mueller Stolenemails Russiacontacts Fakenews Flynnplea Manafortindictment RNCplatformchange TheSteeledossier'},Prosecutor,"Stolen emails, Russia contacts, Fake news, Flynn plea, Manafort indictment, RNC platform change, The Steele dossier"
280,Bernie,Sucher,{'class': 'g-list-item Other Russiacontacts Congress'},Businessman,Russia contacts
281,Emmet,Sullivan,{'class': 'g-list-item Other Flynnplea'},Judge,Flynn plea
282,Michael,Sussmann,{'class': 'g-list-item ObamaofficialsandDemocrats TheSteeledossier Stolenemails Congress'},Clinton campaign,"The Steele dossier, Stolen emails"
283,John,Szobocsan,{'class': 'g-list-item Trump Stolenemails MuellerInterest Congress'},Campaign,Stolen emails
284,Matt,Tait,{'class': 'g-list-item ForeignNational Stolenemails MuellerInterest Congress'},"British, campaign",Stolen emails
285,Ivan,Timofeev,{'class': 'g-list-item ForeignNational Fakenews Stolenemails Russiacontacts'},"Russian, Campaign","Fake news, Stolen emails, Russia contacts"
286,Victoria,Toensing,{'class': 'g-list-item Trump Fakenews Stolenemails Russiacontacts'},Attorney,"Fake news, Stolen emails, Russia contacts"
287,Alexander,Torshin,{'class': 'g-list-item ForeignNational Fakenews Stolenemails Russiacontacts MuellerInterest Congress'},"Russian, Campaign","Fake news, Stolen emails, Russia contacts"
288,Robert,Trout,{'class': 'g-list-item Trump Comeyfiring Flynnplea Stolenemails Russiacontacts'},Attorney,"Comey firing, Flynn plea, Stolen emails, Russia contacts"
289,Ivanka,Trump,{'class': 'g-list-item Trump Russiacontacts MuellerInterest Congress'},"Trump Org, Campaign, Administration",Russia contacts
290,Donald,Trump,{'class': 'g-list-item Trump Stolenemails Fakenews Flynnplea Comeyfiring Russiacontacts TheSteeledossier MuellerInterest Congress'},"Trump Org, Campaign, Transition, Administration","Stolen emails, Fake news, Flynn plea, Comey firing, Russia contacts, The Steele dossier"
291,Eric,Trump,{'class': 'g-list-item Trump TheSteeledossier Russiacontacts Stolenemails Fakenews MuellerInterest Congress'},"Trump Org, Campaign","The Steele dossier, Russia contacts, Stolen emails, Fake news"
292,Donald,Trump Jr.,{'class': 'g-list-item Trump Stolenemails Russiacontacts MuellerInterest Congress'},"Trump Org, Campaign","Stolen emails, Russia contacts"
